Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51035_FRIENDSHIP_parent_CK.docx,1,565,7.29,99,18.09,41.07,33.24,9.73,95.75,79.29,58.94,20.71,13.45,1.24,1.06,9.73,0.18,1.24,7.26,17.88,6.19,5.49,5.66,12.74,6.73,6.55,0.88,25.31,8.32,6.02,2.48,1.95,0.53,0,16.11,0.18,15.93,0.88,0.35,6.73,5.84,0.71,4.78,0.53,6.19,3.72,2.3,3.54,1.95,1.42,0,0,0.18,0,20,5.13,1.42,0.35,0,0,2.83,15.22,0.35,0.53,0.18,0,0,0,0,0,1.77,0.71,0.71,0.18,0.18,0,0.88,0,0,0,0,0,0,0.53,0,0.18,1.95,0.18,0,0,0,0.18,0.18,0,13.98,10.97,0.71,4.96,6.19,0.71,0.18,0,1.95,1.24,6.19,0.88,7.96,0.35,6.02,1.24,0.35,6.9,0,0,2.83,0,4.07,0
51072_FRIENDSHIP_parent_SS.docx,1,1036,11.6,98.24,22.18,80.62,129.5,8.01,97.2,76.54,59.07,18.92,13.13,1.16,0.58,8.59,0,2.8,5.79,19.88,6.37,8.11,4.92,10.42,4.34,8.01,1.93,20.95,5.31,9.36,4.05,2.99,0.39,0.68,16.12,1.45,14.09,1.35,0.77,5.12,5.12,0.68,4.83,0,9.75,6.85,2.9,5.89,4.25,1.54,0,0,0,0,21.04,6.66,3.57,0.48,0.19,0.1,2.03,14.48,0.48,0.29,0,0.1,0.39,0,0,0.39,3.57,0.77,1.06,1.83,0.1,0,0.77,0.58,0.39,0,0,0,0,0,0,0.77,0.29,1.93,0,0,0.1,0,0.1,0.29,13.9,10.04,1.06,2.9,6.47,1.25,0.19,0.1,2.32,1.35,3.76,2.41,2.7,0.58,1.64,0.68,0.19,3.57,0,0.19,0.68,0,2.7,0
51046_FRIENDSHIP_parent_MM.docx,1,380,16.37,99,50.28,43.79,34.55,5.53,98.42,82.37,57.63,18.68,12.89,1.32,1.32,10.26,0,0,5.79,19.74,5.26,10.53,4.74,11.05,3.68,5.53,0.53,24.47,8.16,10.79,3.42,2.63,0.79,0,15.53,1.58,13.95,1.05,0,5,5.26,0,5.79,0.26,6.84,4.21,2.63,3.95,1.84,2.11,0.79,0,0.53,0,18.42,5.26,1.32,0,0,0,2.89,13.42,0.26,0.26,0,0,0.26,0,0,0.26,3.16,1.32,0.79,1.05,0,0,0.26,0,0,0,0,0,0,0.26,0,1.58,0.79,0.53,0,0,0,0.26,0.26,0,16.05,12.11,0.79,5,6.05,2.37,0.26,0.53,3.95,1.84,6.58,1.84,7.63,0,3.95,3.68,0,4.47,0,0.79,2.63,0,0.79,0.26
51077_FRIENDSHIP_parent_CK.docx,1,672,2.09,92.34,72.58,15.26,48,5.95,97.77,86.01,63.84,23.51,15.03,4.17,0.45,9.08,0.45,0.89,8.48,15.63,4.17,5.36,5.65,13.84,6.99,6.7,2.23,29.32,5.95,5.8,1.79,1.34,0.15,0.3,16.82,1.34,15.33,2.83,0.89,4.76,4.17,0.3,5.06,0.45,5.51,2.53,2.98,2.68,0.89,1.79,0,0.15,0.15,0,18.6,5.51,1.04,0.15,0,0.3,2.38,13.1,0.74,0,0.45,0.45,0,0,0,0,1.34,0.74,0.3,0.15,0.15,0,0.6,0.15,0.15,0,0,0,0,0.15,0.3,2.08,0.45,0.45,0,0,0,0,0.3,0,10.86,11.16,0.45,5.36,5.95,0.6,0.15,0,3.27,2.83,5.51,2.98,6.25,0.3,3.72,1.79,0.45,5.65,0,0,1.93,0,3.72,0
51052_FRIENDSHIP_parent_SS.docx,1,1109,5.7,98.36,37.2,47.6,24.64,6.85,98.11,82.51,60.32,23.44,13.8,1.53,0.54,10.64,0.36,0.72,9.65,13.89,5.86,2.8,7.03,12.44,4.78,7.48,2.16,27.14,6.58,3.61,2.25,1.62,0.27,0.36,17.04,1.08,15.69,2.52,0.54,4.51,5.86,0.09,5.86,0.27,6.31,4.06,2.25,3.61,1.8,1.8,0.18,0,0.18,0,20.47,6.22,1.44,0.27,0,0,3.88,14.34,0.27,0.09,0.54,0,0.09,0,0,0.09,2.25,0.36,0.45,1.53,0.09,0,0.81,0,0,0,0,0,0,0.45,0,0.72,0.72,0.54,0.18,0.09,0,0.09,0.09,0.18,14.79,10.01,1.26,4.24,4.15,1.08,0,0.18,2.89,1.71,9.2,1.71,5.14,0.18,4.33,0.54,0.18,8.12,0,0,3.97,0,4.15,0
51016_FRIENDSHIP_parent_MM.docx,1,309,6.48,92.01,40.74,49.98,28.09,2.59,98.71,83.17,61.17,20.06,14.24,2.91,1.94,8.41,0,0.97,5.83,18.77,5.83,5.83,5.18,13.59,5.18,5.83,2.91,25.24,8.41,6.47,4.53,4.21,0,0.32,18.12,1.62,16.18,2.91,0.65,5.5,3.24,0.32,5.83,0,10.36,6.15,4.21,6.47,4.21,2.27,0.32,0,0,0,19.09,6.8,1.94,0,0,0,2.27,12.3,0.32,0,0.32,0,0,0,0,0,2.27,0.32,0.32,1.62,0,0,0,0,0,0,0,0,0,0,0,0.97,0,1.62,0.65,0,0,0,0,0,18.45,6.47,0,3.88,3.88,0,0,0.32,2.91,2.91,5.5,1.62,7.12,0,4.53,2.59,0,10.36,0.65,4.85,2.91,0,1.94,0
51084_FRIENDSHIP_parent_CK.docx,1,776,9.46,93,20.9,13.35,55.43,6.83,96.65,79.38,58.38,19.85,11.21,1.93,0.39,7.22,0.39,1.16,8.63,19.33,7.99,4.9,4.77,11.34,7.6,6.83,1.03,23.84,9.02,5.28,2.32,1.29,0.77,0.13,15.08,0.77,14.3,1.8,0.26,5.67,3.99,0.52,4.25,0.39,7.09,3.22,3.87,5.41,2.45,2.96,0.13,0,0.26,0,15.08,3.99,0.39,0.13,0,0.26,2.06,11.08,0.52,0.13,0.13,0.77,0.64,0,0,0.64,1.55,1.03,0.26,0.26,0,0,1.42,0.26,0.26,0,0,0,0,0.9,0,0.26,0.52,1.55,0,0,0,0.13,0,0.26,14.82,10.82,1.03,4.77,4.64,2.71,0,0.13,2.32,2.19,4.64,0.52,5.67,0,4.64,1.03,0,5.15,0,0,1.68,0,3.48,0
51083_FRIENDSHIP_parent_CK.docx,1,716,7.74,88.07,61.25,17.02,47.73,6.42,98.74,86.45,60.2,21.51,12.01,3.21,0.42,7.54,0.28,0.56,9.5,15.5,5.59,4.61,7.26,8.94,8.94,7.68,1.12,25.56,10.75,5.03,1.12,0.42,0.56,0.14,13.55,0.56,12.99,2.37,0.14,3.07,4.89,0.56,4.47,0,6.15,2.93,3.21,3.35,1.12,2.23,0.56,0,0.28,0,17.6,7.26,0.42,0.14,0.56,0,4.33,10.34,0,0,0.28,0.28,0,0,0,0,2.09,0.7,0,1.4,0,0,0.14,0.14,0.14,0,0,0,0,0,0,1.12,0,2.09,0,0,0,0.28,0,0.14,14.94,9.92,0,5.87,4.75,0.98,0,0.14,2.37,1.26,7.4,2.51,9.22,0,8.38,0.7,0.14,4.47,0,0,1.96,0,2.37,0.14
51004_FRIENDSHIP_parent_SS.docx,1,367,15.46,87.36,58.79,20.23,122.33,5.45,98.09,84.74,62.4,16.89,13.62,4.36,1.09,7.36,0,0.82,3.27,25.34,5.72,12.53,5.99,7.63,5.99,8.99,2.18,21.25,8.99,15.26,2.72,2.18,0.27,0.27,11.72,2.45,9.26,1.63,0.82,3,2.45,0,2.45,0,7.08,3.54,3.54,4.63,1.09,3.54,0.54,0.27,0.27,0,13.62,4.09,1.09,0,0.27,0,1.91,9.81,0,0.27,0,0,0.27,0,0,0.27,2.18,1.09,0,1.09,0,0,0.82,0,0,0,0,0,0,0,0,0,0.27,2.18,0,0,0,0,0,0,15.26,9.54,0.82,4.63,5.45,1.36,0,0.27,3.81,1.09,4.9,1.09,4.63,0.27,4.36,0.27,0,1.09,0,0,0.54,0,0.54,0
51048_FRIENDSHIP_parent_MM.docx,1,621,19.26,70.02,70.55,47.05,155.25,6.92,99.19,84.54,61.51,18.36,11.59,3.7,1.13,6.12,0,0.64,6.76,15.62,6.28,4.67,9.82,9.34,6.92,7.73,1.77,22.71,7.57,5.31,4.03,3.22,0.48,0.32,20.29,2.09,17.87,4.19,0.97,3.54,5.15,0,5.64,0.16,6.6,4.19,2.42,2.9,0.97,1.93,0.97,0,0,0,15.3,6.28,2.25,0.16,0.16,0,2.25,9.02,0,0,0,0,0,0,0,0,2.42,0.16,0.16,2.09,0,0,0.16,0,0,0,0,0,0,0,0,0.81,1.13,0.48,0,0,0,0,0,0,16.1,9.98,0.32,2.58,5.96,1.29,0,0.81,2.58,1.93,4.83,2.74,7.73,0.16,5.64,1.93,0,3.38,0,1.77,0.48,0,1.13,0
51043_FRIENDSHIP_parent_CK.docx,1,219,15.16,99,34.89,40.28,43.8,6.39,98.17,81.74,59.36,18.26,14.61,1.83,2.28,8.22,0,2.28,3.65,27.85,6.85,15.07,3.2,10.96,3.65,5.48,1.83,24.2,8.22,15.07,4.57,4.11,0.46,0,14.16,0.46,13.24,2.28,1.83,3.65,3.2,0,3.2,0,5.94,3.65,2.28,3.2,1.37,1.83,0,0,0,0,18.26,3.65,1.37,0.91,0,0,0,15.07,0.46,0.46,0,0,0,0,0,0,3.65,0.91,2.28,1.83,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0.46,0,0,0,0,0.46,0,15.98,11.42,1.37,4.57,4.57,1.83,0,0.91,3.2,0.46,8.22,1.37,6.39,0,5.94,0.46,0,6.39,0,0,1.83,0,4.57,0
51080_FRIENDSHIP_parent_MM.docx,1,308,13.94,93.41,32.28,89.52,34.22,3.57,98.7,77.27,59.42,18.18,12.66,1.95,0.32,9.74,0,0.65,5.52,23.38,7.47,8.12,4.87,12.01,2.6,6.82,3.57,22.4,3.9,8.12,4.55,2.92,1.3,0.32,18.18,2.92,14.61,0,0.32,6.17,7.14,0,6.49,0.65,12.01,8.44,3.57,7.14,6.49,0.65,0,0,0,0,18.51,4.87,1.95,0.32,0,0,1.3,13.64,1.62,0,0,0,0,0,0,0,2.27,0.32,1.95,0,0,0,1.3,0,0,0,0,0,0,0.65,0.65,0.97,0,1.3,0,0,0,0,1.62,0,19.48,9.09,0,4.87,6.82,0.32,0,0,1.62,1.3,3.25,2.27,5.19,0,0.97,4.22,0,6.17,0,0.65,2.6,0,2.92,0
51009_FRIENDSHIP_parent_SS.docx,1,518,16.62,93.58,43.23,17.96,74,4.05,97.1,83.98,60.62,18.53,12.74,2.12,1.35,8.49,0,0.77,5.79,21.04,6.95,8.69,6.37,11.78,3.86,5.41,3.09,25.29,8.11,11,2.7,1.93,0.58,0.19,13.13,1.16,11.78,0.97,0.19,5.02,3.67,0,4.44,0.19,6.76,3.09,3.28,4.25,1.74,2.12,0,0,0.19,0,14.29,2.7,0.77,0,0,0,1.74,11.58,0.77,0,0.39,0,0.39,0,0,0.39,1.16,1.16,0,0,0,0,0.77,0.19,0,0,0,0,0,0.19,0,0.39,1.35,1.74,1.16,0,0,0,0,0,14.86,11.39,0.39,5.41,6.95,1.35,0,0.39,2.32,2.32,6.37,0.97,6.56,0,3.09,3.09,0.39,5.6,0,0,1.16,0,4.44,0
51032_FRIENDSHIP_parent_MM.docx,1,707,24.98,87.14,39.75,12.78,30.74,5.66,96.46,84.3,58.13,16.97,10.61,2.26,0.85,6.36,0.28,0.71,6.36,19.94,8.63,7.07,5.8,10.61,5.23,6.08,0.99,26.17,8.77,7.92,2.4,1.98,0.42,0,13.86,1.7,12.02,1.56,0.71,3.68,4.67,0,4.67,0.14,6.65,2.97,3.68,4.67,1.7,2.97,0,0,0.42,0,13.44,3.68,1.27,0.14,0,0,1.84,9.9,0.71,0.14,0.42,0.28,0.14,0,0,0.14,1.27,0.85,0.42,0,0,0,0.85,0.42,0.42,0,0,0,0,0.14,0.14,0.28,0.14,2.55,0,0,0.28,0,0.28,0,18.39,9.62,0.28,5.23,3.96,1.27,0,0.42,2.97,0.99,5.09,2.55,7.07,0,4.81,2.26,0,6.22,0.42,1.41,2.83,0,1.56,0
51014_FRIENDSHIP_parent_MM.docx,1,733,19.94,70.89,82.14,56.42,17.88,9.41,95.63,82.54,60.85,18.69,11.6,3.96,0.68,5.32,0.14,1.5,7.09,19.37,7.5,6,7.09,10.37,5.87,6.55,0.82,24.83,8.32,7.5,2.59,1.5,0.82,0.27,13.78,0.55,13.23,1.91,0.68,4.23,3.68,0.14,5.18,0.14,4.91,3.55,1.23,2.86,1.64,1.09,0.27,0,0.14,0,12.41,3.68,1.23,0.27,0.14,0,0.95,9.28,0,0.68,0.14,0,0.14,0,0,0.14,1.23,0.95,0,0.27,0,0,0.27,0,0,0,0,0,0,0.14,0,1.64,0.55,1.5,0,0,0,0.41,0,0,15.14,12.69,0.14,5.32,8.46,0.41,0.41,0.41,2.73,2.46,4.23,3.96,7.78,0,5.73,2.05,0,8.59,2.59,1.77,2.86,0,1.36,0
51082_FRIENDSHIP_parent_SS.docx,1,656,3.83,91.94,52.36,85.61,50.46,6.86,97.71,82.93,61.59,22.1,16.01,3.05,1.52,8.23,0.15,2.9,6.1,16.31,6.1,6.1,4.73,12.04,6.4,6.71,3.51,24.85,5.79,6.25,4.42,3.51,0.46,0.46,16.77,1.52,15.09,1.83,0.61,4.12,4.88,0,6.86,0.15,8.38,6.4,1.98,4.42,2.9,1.52,0,0,0.3,0,19.51,4.88,2.59,0.3,0.15,0,1.52,14.63,0.46,0,0,0.15,0,0,0,0,3.05,1.98,0.76,0.46,0,0,0.15,0,0,0,0,0,0,0.15,0,0.3,0.3,1.83,0.3,0,0,0,0.15,0,17.68,8.23,0,4.12,4.57,0.46,0,0,2.29,0.91,7.01,1.07,6.25,0.15,4.88,1.37,0,6.86,0,0.15,1.83,0,4.73,0.15
51079_FRIENDSHIP_parent_MM.docx,1,750,12.5,94.45,51.06,27.28,35.71,6.8,97.2,81.2,57.07,18.53,11.47,1.2,0.8,8.93,0,0.53,7.07,16.27,6.67,6.8,4.67,10.27,4.4,7.73,2.13,21.87,9.6,7.6,2.13,1.47,0.67,0.13,16.93,1.47,15.47,1.2,0.53,4.67,7.07,0,6.93,0,9.33,4.93,4.4,5.6,2.53,3.07,0.13,0,0.13,0,17.87,5.07,1.33,0.13,0,0,2.67,12.8,0.13,0.13,0.13,0,0.13,0,0,0.13,2.53,1.33,0,1.2,0,0,0.53,0,0,0,0,0,0,0,0,0.27,0.4,0.53,0,0,0,0.4,0,0,17.73,11.73,0.93,5.07,6.53,0.67,0,0.4,2,2,4.53,0.8,8.13,0.27,5.2,2.67,0,6.4,0,0.53,2.67,0,3.2,0
51023_FRIENDSHIP_parent_CK.docx,1,904,4.43,88.12,27.49,68.97,22.05,4.54,97.35,83.52,61.73,22.35,13.27,3.1,0.22,9.4,0.22,0.33,9.07,16.04,6.53,4.54,4.98,13.27,3.98,8.3,2.65,27.54,6.42,4.65,1,0.88,0.11,0,15.71,1.11,14.6,2.1,0.22,5.09,5.64,0,5.86,0,7.85,5.42,2.32,5.53,3.21,2.21,0,0,0.44,0,19.47,8.08,1.88,0.33,0,0,4.2,11.5,0,0.11,0.11,0.11,0,0,0,0,1.22,0.55,0.22,0.33,0.11,0,0.66,0.22,0.22,0,0,0,0,0,0,1.33,0.33,0.22,0,0,0,0,0,0,16.15,9.51,0.77,3.65,3.98,0.77,0.33,0.55,1.44,1,6.19,2.1,5.09,0,4.42,0.66,0,7.3,0,0,4.42,0,2.88,0
