Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51125_MATH_parent_SS.docx,1,1852,5.89,79.89,27.32,58.26,24.69,6.7,88.5,82.29,54.21,19.65,12.58,4.27,1.67,5.89,0.32,0.38,7.07,19.6,1.89,9.83,4.59,11.72,5.67,3.94,2.7,22.25,9.67,11.07,2.16,1.78,0.32,0.05,9.61,2.43,7.13,1.62,0.59,2.05,1.46,0.38,1.89,0.16,4.05,3.13,0.7,1.67,1.19,0.27,0,0,0.11,0,10.58,2.16,0.92,0.65,0.11,0.16,0.92,8.53,0.05,0,0.05,0.32,0.05,0,0,0.05,1.24,0.92,0,0.22,0,0.11,0.16,0,0,0,0,0,0,0,0,0.49,0.43,1.57,0.11,0.11,0,0.11,0.05,0,15.82,9.18,0,3.78,2.54,2.81,0,0.43,3.08,2,8.48,1.89,12.63,0.86,5.24,6.59,0.27,8.32,0,0.16,4,0,4.16,0
51157_MATH_parent_CK.docx,1,1881,6.73,90.33,65.81,82.19,24.12,5.53,93.04,81.87,56.03,24.35,18.13,7.6,1.06,8.72,0,0.53,6.22,19.88,3.99,7.71,5,13.02,4.2,2.5,1.22,26.58,8.56,8.72,2.02,1.44,0.85,0,9.62,2.92,6.7,1.81,0.9,1.86,1.38,0.16,1.38,0.27,4.78,4.41,0.32,1.44,1.22,0.16,0,0,0,0,14.3,3.56,2.34,2.18,0,0.16,2.02,10.74,0,0,0.11,0,0,0,0,0,1.97,1.75,0.05,0.16,0,0,0.48,0,0,0,0,0,0,0.11,0.27,0.9,0.11,1.59,0,0,0,0.11,0,0.43,19.99,9.94,0.16,6.06,3.08,1.12,0.32,0.27,2.29,1.86,9.89,2.34,10.15,0.16,8.03,1.97,0.16,9.73,0,0,4.09,0,5.64,0
51151_MATH_parent_CK.docx,1,964,5.86,84.47,29.45,77.89,26.78,6.85,89,83.09,57.16,22.72,15.35,5.81,0.52,8.61,0.31,0,7.37,23.76,1.87,14.42,3.63,9.96,5.81,1.35,2.9,23.76,8.92,16.18,1.04,0.52,0.52,0,8.92,3.11,5.81,1.76,0.62,1.04,1.56,0.1,1.97,0.31,3.94,3.84,0.1,1.14,1.04,0.1,0,0.1,0,0,11.51,1.56,0.73,0.31,0,0,1.04,9.96,0,0,0,0.31,0,0,0,0,1.35,0.52,0.1,0.62,0.1,0,1.04,0,0,0,0,0,0,0.41,0,0.21,0.1,1.56,0,0,0,0.41,0.31,0,15.98,12.24,0.41,3.63,2.07,6.64,0.1,0,1.24,2.49,6.33,1.35,11,2.07,9.13,1.76,0,8.61,0,0,3.63,0,4.98,0
51122_MATH_parent_MM.docx,1,440,27.83,67.97,64.91,76.62,48.89,2.73,88.64,80.45,53.41,17.05,12.05,5,1.14,5.68,0,0.23,5,27.05,3.18,12.5,6.36,6.14,4.55,2.27,3.86,21.82,9.55,15.68,1.82,1.14,0.68,0,7.27,2.5,4.77,2.27,2.05,0.23,0.23,0,1.36,0.23,4.09,3.64,0,3.18,2.73,0,0,0,0,0,8.41,0.23,0,0,0,0,0.23,8.18,0.68,0,0.45,0,0,0,0,0,2.73,0.23,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0.45,0.23,5,0.45,0,0,0.45,0,0,14.77,13.86,0.91,6.82,2.73,3.64,0.23,0,2.27,0.45,5,0.91,6.82,0.23,2.27,4.55,0,5.23,0,0,1.82,0,3.41,0
51121_MATH_parent_SS.docx,1,7848,18.15,58.2,8.13,68.18,62.78,2.56,90.99,84.62,64.17,13.2,8.66,3.31,1.67,3.08,0,0.42,4.54,40.37,2.06,28.9,2.32,6.75,5.56,4.5,2.93,15.07,7.96,33.5,2.33,1.75,0.52,0.06,9.73,6.23,3.49,1.1,0.76,0.76,0.54,0.25,1.04,0.04,3.33,3.17,0.13,1.22,1.17,0.01,0,0,0.01,0.01,6.66,1.25,0.66,0.8,0,0.09,0.69,5.59,0.01,0,0.2,0.01,0,0,0,0,0.75,0.4,0,0.23,0,0.13,0.04,0,0,0,0,0,0,0,0.03,0.43,0.17,2.12,0.13,0.03,0,0.29,0.23,0.01,14.48,7.91,0.06,1.66,2.54,4.22,0.03,0.04,1.54,1.34,5.77,0.89,8.31,0.7,4.13,4.14,0.01,5.66,0.2,0.25,1.38,0,3.76,0.06
51120_MATH_parent_MM.docx,1,2152,4.25,86.87,62.59,68.51,17.64,4.51,94.1,87.83,60.27,21.84,13.66,4.6,1.12,7.71,0,0.23,8.18,21.05,2.6,9.71,6.09,13.01,6.92,3.39,2.83,26.53,13.1,12.41,1.91,1.39,0.37,0.14,9.71,2.23,7.48,2.51,2.28,1.81,0.74,0.19,1.91,0,3.49,3.25,0.19,1.58,1.53,0,0,0,0,0,12.41,2.83,0.51,0.37,0,0.09,1.16,9.62,0,0.33,0,0.23,0,0,0,0,0.56,0.46,0,0.09,0,0,0.05,0,0,0,0,0,0,0.05,0,1.16,0.46,2.79,0.19,0,0,0.05,0,0,18.96,10.69,0.46,5.58,3.81,2.32,0.28,0.09,3.3,1.77,7.85,3.49,12.45,0.46,9.2,2.74,0.05,11.71,0,0,5.62,0,6.09,0
51123_MATH_parent_SS.docx,1,1390,9.93,84.53,49.55,49.99,31.59,6.26,90.5,83.74,60.65,21.87,16.83,6.83,0.94,8.71,0.07,0.14,5.04,23.81,3.38,14.03,4.89,8.63,6.4,2.09,2.81,23.53,9.21,16.69,2.3,1.01,1.22,0.07,9.21,2.23,6.91,2.37,1.94,1.51,1.08,0.14,1.73,0,4.68,3.24,1.29,0.43,0.14,0.14,0,0,0.14,0,13.45,3.45,0.94,1.29,0.22,0.79,1.29,10.14,0,0,0,0.07,0,0,0,0,1.15,0.79,0.14,0,0,0.22,0.07,0,0,0,0,0,0,0,0.07,0.43,0.22,2.73,0.14,0,0,0.79,0.14,0,15.04,9.64,0.22,3.96,2.59,3.45,0,0.14,2.16,2.09,5.97,1.29,4.96,0.14,3.96,0.86,0.14,6.91,0,0.07,3.09,0,3.74,0
51135_MATH_parent_MM.docx,1,4804,5.14,90.2,58.88,64.19,40.03,5.35,92.28,83.31,58.83,23.5,15.7,5.75,1.85,7.72,0,0.29,7.81,18.4,3.29,7.12,6.95,12.18,6.99,3.08,2.58,25.83,9.2,8.87,2.66,2.12,0.44,0.1,9.72,1.89,7.72,2.29,1.62,1.67,0.65,0.25,2.14,0.08,3.89,3.31,0.52,0.83,0.56,0.19,0.06,0.06,0.02,0,13.7,2.54,1.14,1.12,0.12,0.12,0.56,11.16,0.35,0,0.35,0.02,0,0,0,0,1.79,0.98,0.1,0.42,0.35,0,1.25,0.04,0,0,0.04,0,0,0.77,0.04,0.65,0.35,2.27,0.04,0.02,0.02,0.08,0.1,0.02,16.65,11.3,0.52,5.18,3.25,3.12,0.1,0.33,2.41,1.77,8.39,2.02,8.81,0.58,6.56,2.06,0,8.74,0,0,2.48,0,6.27,0
51116_MATH_parent_CK.docx,1,1200,15.11,83.3,35.01,46.69,19.67,4.75,86.83,80,61.92,18.92,10.83,3.25,1.08,5.83,0.08,0.42,8.08,29.5,2.67,19.92,4.83,7.17,6.75,2.67,2.17,18.83,8.83,22.83,1.58,1.17,0.33,0.08,8.5,2,6.5,3,2.25,1.17,1,0,1.17,0.42,2.92,2.25,0.5,1.58,1.42,0,0,0,0,0,8.58,0.92,0.25,0.33,0,0.08,0.5,7.75,0,0.08,0,0.17,0,0,0,0,1.25,0.58,0.17,0.42,0.08,0,0.25,0,0,0,0,0,0,0,0.08,0.67,0.08,4.92,0,0,0,0,0.17,0,11.75,10.25,0.08,3.75,3.08,4.42,0.25,0,3,2.17,4.33,2.17,3.25,0.25,2.25,0.5,0.42,8.33,0,0,5,0,3.33,0
51147_MATH_parent_CK.docx,1,919,19.83,66.88,22.34,37.44,65.64,5.01,92.27,86.72,67.46,15.02,9.36,3.48,0.76,4.68,0,0.44,5.66,37.32,2.29,30.69,4.03,8.16,6.31,2.83,1.74,16.21,9.58,32.43,1.41,0.87,0.54,0,8.81,2.07,6.75,1.74,1.31,1.52,1.31,0.65,1.74,0,3.59,2.39,1.2,0.98,0.76,0.22,0,0,0,0,8.92,2.83,0.87,0.98,0.11,0.87,0.98,6.09,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.11,1.31,0,0,0.11,0.22,0.11,0,11.21,9.14,0.11,3.05,3.05,4.03,0,0.11,2.39,2.39,4.57,1.41,6.96,0.11,5.11,1.63,0.22,4.46,0,0,1.41,0,3.05,0
