ID,game,speaker,coder,number,emotion,socbehav,affiliation
51079,EMOTIONS,child,MM,8.27,5.64,2.26,1.13
51080,EMOTIONS,child,MM,21.43,6.55,0.6,3.57
51081,EMOTIONS,child,SS,15.35,4.46,1.98,0.99
51082,EMOTIONS,child,SS,6.61,4.19,3.3,2.2
51083,EMOTIONS,child,CK,14.57,6.62,2.65,2.65
51084,EMOTIONS,child,CK,21.26,0,0.79,2.36
51086,EMOTIONS,child,SS,8.96,2.99,2.24,0.75
51088,EMOTIONS,child,CK,11.61,5.36,6.25,3.57
51091,EMOTIONS,child,MM,21.05,3.68,0.53,2.11
51004,EMOTIONS,parent,SS,9.06,6.1,1.77,1.97
51005,EMOTIONS,parent,SS,10.66,5.96,1.88,1.88
51008,EMOTIONS,parent,SS,6.91,4.47,1.63,2.44
51009,EMOTIONS,parent,SS,4.08,3.76,2.67,1.96
51013,EMOTIONS,parent,CK,6.71,5.65,4.95,3.18
51014,EMOTIONS,parent,MM,6.37,5.56,1.47,1.8
51016,EMOTIONS,parent,MM,4.79,6.99,1.16,2.46
51017,EMOTIONS,parent,SS,6.3,4.07,2.78,2.04
51021,EMOTIONS,parent,SS,6.58,4.29,3.06,1.53
51022,EMOTIONS,parent,CK,3.51,5.01,1.6,2.51
51023,EMOTIONS,parent,CK,2.78,4.43,3.2,3.2
51026,EMOTIONS,parent,MM,2.96,3.57,2.36,1.95
51032,EMOTIONS,parent,MM,6.9,3.77,2.72,1.67
51033,EMOTIONS,parent,SS,14.72,6.6,1.52,3.55
51034,EMOTIONS,parent,SS,7.23,4.54,1.01,2.69
51035,EMOTIONS,parent,CK,4.5,4.68,2.58,3.78
51043,EMOTIONS,parent,CK,6.79,4.72,2.08,2.26
51046,EMOTIONS,parent,MM,7.86,4.02,2.01,1.65
51048,EMOTIONS,parent,MM,3.92,5.04,1.96,3.36
51049,EMOTIONS,parent,SS,12.05,5.22,3.21,1.2
51052,EMOTIONS,parent,SS,2.7,4.47,4.13,2.7
51055,EMOTIONS,parent,CK,7.28,7.17,2.83,3.59
51057,EMOTIONS,parent,CK,7.01,4.84,3.84,4.01
51062,EMOTIONS,parent,MM,7.17,3.54,3.36,2.09
51065,EMOTIONS,parent,MM,5.52,6.48,2.07,2.21
51067,EMOTIONS,parent,SS,7.09,4.69,2.29,1.71
51073,EMOTIONS,parent,CK,5.2,3.94,2.95,2.11
51079,EMOTIONS,parent,MM,8.1,4.97,3.46,1.62
51080,EMOTIONS,parent,MM,9.38,5.43,3.46,2.47
51081,EMOTIONS,parent,SS,11.84,5.92,1.97,2.63
51082,EMOTIONS,parent,SS,3.77,4.14,2.92,3.28
51083,EMOTIONS,parent,CK,8.08,4.65,3.03,1.62
51084,EMOTIONS,parent,CK,7.69,7.2,1.8,2.78
51086,EMOTIONS,parent,SS,3.81,5.9,2.54,1.45
51088,EMOTIONS,parent,CK,8.55,5.98,1.71,0.85
51091,EMOTIONS,parent,MM,7.91,5.05,1.85,2.19
51072,EMOTIONS,parent,SS,6.05,5.04,2.18,2.35
51046,EMPATHY,child,MM,22.03,3.39,2.97,0.85
51011,EMPATHY,child,CK,9.52,6.35,3.7,1.06
51062,EMPATHY,child,MM,6.29,3.22,2.78,0.73
51023,EMPATHY,child,CK,12.2,3.05,0,0
51035,EMPATHY,child,CK,10.4,4.46,2.97,2.97
51083,EMPATHY,child,CK,3.96,3.08,6.17,0.88
51080,EMPATHY,child,MM,30.5,4.26,2.84,0.71
51004,EMPATHY,child,SS,21.54,4.62,5.38,2.31
51013,EMPATHY,child,CK,6.34,3.17,3.17,0.7
51082,EMPATHY,child,SS,5.47,2.15,4.88,1.95
51034,EMPATHY,child,SS,7.57,4.61,2.63,1.32
51073,EMPATHY,child,CK,5.06,3.57,5.95,1.79
51032,EMPATHY,child,MM,13.07,4.52,4.02,3.02
51057,EMPATHY,child,CK,3.96,9.9,2.97,1.98
51016,EMPATHY,child,MM,7.59,2.76,4.14,2.76
51008,EMPATHY,child,SS,14.2,3.7,4.94,1.85
51048,EMPATHY,child,MM,12.73,2.42,4.24,0.61
51072,EMPATHY,child,SS,9.93,5.62,4.31,2.25
51026,EMPATHY,child,SS,4.16,1.76,4.03,1.01
51014,EMPATHY,child,MM,9.05,3.52,5.53,4.02
51043,EMPATHY,child,CK,16.08,6.03,2.51,1.01
51086,EMPATHY,child,SS,11.08,4.43,2.22,0.28
51022,EMPATHY,child,CK,0,8.21,2.9,3.38
51005,EMPATHY,child,SS,21.64,2.99,5.22,5.97
51081,EMPATHY,child,SS,10.67,4.44,3.11,1.78
51021,EMPATHY,child,SS,16.67,7.41,1.85,0
51088,EMPATHY,child,CK,3.77,6.6,4.72,1.89
51033,EMPATHY,child,SS,15,8.75,0.63,0
51079,EMPATHY,child,MM,11.76,5.88,7.84,3.27
51009,EMPATHY,child,SS,9.52,3.66,5.13,1.83
51067,EMPATHY,child,SS,10.73,3.39,6.78,2.26
51049,EMPATHY,child,SS,10.04,2.62,6.99,0.44
51091,EMPATHY,child,MM,16.16,6.57,1.52,1.52
51015,EMPATHY,child,SS,12.88,4.29,4.29,1.29
