Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51034_EMOTIONS_child_SS.docx,1,167,15.51,2.51,69.68,8.9,55.67,3.59,94.61,87.43,58.68,14.97,8.38,6.59,0,1.2,0.6,0,6.59,29.94,5.39,17.37,2.99,10.18,4.19,2.99,5.99,16.77,8.38,19.16,1.2,0,1.2,0.6,12.57,4.79,7.78,2.99,0,1.2,1.2,1.8,1.8,0,5.99,2.4,3.59,5.39,1.8,3.59,1.2,1.8,0.6,0,3.59,1.8,0,0,0,0,1.8,1.8,0,0,0,0.6,0,0,0,0,1.8,0,0.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,10.18,0,2.99,6.59,0,0,0.6,1.8,2.4,6.59,1.2,13.77,0,4.19,9.58,0,7.19,0,0,1.2,0,5.99,0
51035_EMOTIONS_child_CK.docx,1,517,5.13,7.42,46.24,30.8,172.33,5.42,90.33,83.37,60.15,20.7,13.93,8.9,1.16,1.93,1.16,0.58,6.77,19.15,4.06,7.54,7.35,12.96,4.64,4.26,6.96,23.6,9.86,8.9,2.71,2.71,0,0,16.63,6,10.64,3.09,1.35,4.26,1.16,0.58,1.35,0.19,6.19,3.48,2.71,4.26,1.74,2.51,0.39,1.16,0.97,0,8.12,1.93,0,0,0,0,0.58,6.19,0.97,0,0.58,1.55,0.19,0,0,0.19,2.13,1.35,0.58,0.19,0,0,0.58,0.19,0,0,0,0,0,0,0,0.97,0.97,0.97,0,0.39,0,0,0,0,14.7,8.32,0.58,2.71,4.64,0.97,0,0.97,2.32,2.51,8.51,1.35,7.35,0,4.84,2.51,0,8.7,0,0,0.39,0,8.12,0.19
51043_EMOTIONS_child_CK.docx,1,470,4.67,4.85,52.84,76.37,67.14,6.6,93.19,81.7,60.64,20.43,13.19,9.15,1.06,2.55,0,0.43,7.23,21.28,4.47,6.17,6.38,9.79,5.74,6.81,6.81,17.87,7.45,8.09,2.13,2.13,0,0,15.96,6.17,9.57,0.43,1.91,3.19,1.06,0.85,2.77,0,5.74,4.68,1.06,2.13,1.06,1.06,0.21,0,0.85,0,7.87,1.7,0.21,0.21,0,0,1.28,5.74,0.85,0.21,0.64,0.21,0,0,0,0,4.68,2.34,0.85,1.49,0,0,0.85,0,0,0,0,0,0,0.43,0,0.64,0.43,1.28,0.64,0.43,0,0,0.21,0,13.83,8.3,0,4.47,3.62,1.49,0,0,1.28,2.13,5.32,1.91,8.51,0.64,2.98,4.89,0,5.32,0,0,1.28,0,4.04,0
51046_EMOTIONS_child_MM.docx,1,206,11.32,6.77,69.13,41.74,103,5.34,98.06,89.81,55.83,17.96,12.14,9.71,0.49,1.94,0,0,5.83,20.87,3.4,10.68,5.34,10.19,5.83,4.37,2.91,20.87,9.22,11.17,1.46,1.46,0,0,12.62,2.43,10.19,2.43,1.46,1.46,0.97,0,2.91,0,7.77,4.37,2.91,3.4,0.49,2.43,1.46,0.49,0,0,7.77,2.91,1.94,1.94,0,0,0.49,4.85,1.94,0,0.49,0.49,0,0,0,0,1.46,0.49,0.49,0.97,0,0,0.49,0,0,0,0,0,0,0,0,0.97,0.49,0.97,0,0,0,0,0.97,0,12.62,3.4,0,1.94,0.97,0,0,0.49,4.37,2.43,6.31,3.4,19.42,0,5.34,14.08,0,4.85,0,0.97,0.49,0,3.4,0
51048_EMOTIONS_child_MM.docx,1,250,4.9,2.32,57.77,31.2,250,4,97.6,87.2,61.2,23.2,15.6,12.8,0.8,1.2,0,0.8,7.6,20.8,3.6,10.8,4.8,13.2,5.2,3.2,2,23.2,8.8,12.4,3.2,1.6,1.6,0,10,1.6,8,1.2,0,3.6,0.4,0.4,2.4,0,9.6,5.2,4.4,6.8,3.2,3.6,1.2,0.8,1.6,0,4.8,1.2,0,0,0,0,1.2,3.6,0.4,0.4,0.4,0,0.8,0,0,0.8,6,3.2,0,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0.8,2,0,0,0,0.8,0.4,0,12,4.4,0,1.2,2,0.8,0,0,3.2,3.2,10,2.8,9.2,0,2,7.2,0,5.2,0,2.8,0,0,2.4,0
51049_EMOTIONS_child_SS.docx,1,153,87.62,47.81,17.97,39.24,51,11.11,96.73,81.05,54.25,5.88,3.27,2.61,0.65,0,0,0,2.61,38.56,4.58,31.37,7.19,5.88,0.65,0.65,0,19.61,7.19,32.03,6.54,3.92,2.61,0.65,6.54,0.65,5.88,1.31,0,3.27,0,0,0.65,0,7.84,4.58,3.27,3.27,0.65,2.61,0.65,0,1.96,0,5.23,1.31,0.65,0,0,0,0.65,3.92,1.31,1.31,0.65,0,0,0,0,0,6.54,3.27,0.65,2.61,0,0,1.31,0.65,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0.65,0.65,0,7.84,11.76,0,3.92,5.88,0,0.65,1.31,1.96,1.96,3.92,3.92,9.15,0,4.58,4.58,0,3.27,0,0,1.31,0,1.96,0
51052_EMOTIONS_child_SS.docx,1,254,9,1,92.31,43.72,63.5,8.27,92.52,84.25,64.96,16.14,12.99,11.02,0.39,0.39,0,1.18,3.15,20.08,3.94,12.99,9.45,11.81,6.3,7.09,6.3,25.59,3.15,13.39,3.54,3.54,0,0,15.35,3.54,11.81,1.57,3.15,3.94,1.18,0,2.76,0,3.15,2.36,0.79,2.36,1.57,0.79,0.79,0,0,0,8.66,3.94,0.79,0,0,0,0.79,4.72,1.57,0.79,0.39,1.18,0,0,0,0,1.57,0.79,0.79,0,0,0,1.18,0,0,0,0,0,0,0,0,0.79,2.36,0.39,1.57,0,0,0,0,0,8.66,11.81,0,5.12,6.69,0.39,0.39,1.18,2.76,2.76,8.27,4.33,4.72,0,3.54,0.39,0.79,9.84,0,0,1.18,0,8.66,0
51055_EMOTIONS_child_CK.docx,1,206,1,1.37,45.35,20.23,51.5,6.31,96.6,88.35,61.17,24.27,15.53,12.62,0,0.97,0.49,1.46,8.74,14.56,2.43,3.88,5.83,17.48,5.34,3.4,6.31,28.64,10.19,3.88,2.43,1.94,0.49,0,22.33,8.25,14.08,0.97,1.94,6.8,0.49,0,1.46,0,11.65,5.83,5.83,7.28,3.4,3.88,1.46,1.46,0.97,0,8.25,1.94,0.49,0,0.49,0.49,0.97,6.31,2.91,0,0,1.46,0,0,0,0,0.97,0.49,0,0.49,0,0,0.49,0,0,0,0,0,0,0,0,0,0.49,1.94,0,0,0,0,0.49,0,15.05,6.8,0,1.94,5.34,0.49,0,0,2.43,3.4,5.83,3.4,8.25,0,5.83,2.43,0,7.28,0,0,1.46,0,5.83,0
51057_EMOTIONS_child_CK.docx,1,160,1.1,2.08,87.19,69.4,80,6.88,91.25,80.63,62.5,22.5,17.5,13.75,0,3.13,0.63,0,5,21.88,3.13,13.13,6.25,14.38,6.25,8.75,4.38,24.38,4.38,13.75,5.63,3.75,1.88,0,8.13,0,8.13,0.63,1.25,1.25,3.75,0,4.38,0,8.13,5.63,2.5,5,3.13,1.88,0.63,0,1.25,0,10,2.5,1.88,0,0,0,0,7.5,3.75,0,1.88,1.88,0,0,0,0,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,3.13,0,0,0,1.25,0.63,0,7.5,6.25,0,2.5,2.5,1.88,0,0,2.5,4.38,11.25,2.5,4.38,0,2.5,0.63,1.25,12.5,0,0,0.63,0,11.88,0
51062_EMOTIONS_child_MM.docx,1,889,10.39,89.22,4.13,49.47,177.8,8.44,97.53,91.11,67.94,20.58,15.86,3.6,0.79,4.95,4.84,1.69,4.72,16.31,2.7,6.52,12.94,6.64,7.09,12.04,2.47,16.87,5.51,7.76,3.71,2.59,1.12,0,15.41,2.81,12.49,1.01,3.71,1.24,2.25,1.12,4.27,0,7.09,4.5,2.59,4.16,2.59,1.57,0.45,0.79,0.34,0,16.76,2.25,0.34,0.11,0,0,1.8,14.51,1.12,0.45,3.04,2.81,0,0,0,0,2.25,0.79,0.56,0.67,0.22,0,0.45,0.11,0,0,0,0,0,0.11,0.11,1.35,0.9,1.8,0,0,0,0.67,0.34,0,12.94,3.37,0,1.57,1.35,0,0,0.79,2.81,8.44,2.59,1.35,9.9,0.22,1.24,8.44,0,1.57,0.11,0,0.45,0,0.9,0.11
